iter	Passed	Remaining
0	33	33512
1	64	32386
2	93	31153
3	117	29230
4	141	28222
5	164	27271
6	186	26502
7	214	26652
8	243	26760
9	265	26310
10	291	26171
11	313	25812
12	335	25493
13	360	25374
14	383	25171
15	407	25032
16	429	24847
17	457	24972
18	482	24931
19	510	25008
20	533	24880
21	561	24972
22	589	25029
23	614	24970
24	642	25055
25	665	24918
26	688	24820
27	711	24699
28	733	24552
29	756	24449
30	777	24318
31	800	24219
32	825	24176
33	846	24061
34	873	24078
35	896	24005
36	920	23963
37	943	23875
38	972	23969
39	1106	26548
40	1246	29164
41	1355	30914
42	1377	30660
43	1401	30461
44	1424	30224
45	1446	29998
46	1470	29820
47	1492	29606
48	1515	29415
49	1538	29228
50	1561	29061
51	1590	28991
52	1615	28874
53	1643	28791
54	1670	28703
55	1695	28580
56	1720	28460
57	1749	28414
58	1772	28264
59	1795	28132
60	1818	27998
61	1841	27865
62	1865	27750
63	1888	27619
64	1910	27483
65	1934	27374
66	1957	27253
67	1984	27193
68	2006	27072
69	2029	26967
70	2052	26854
71	2073	26722
72	2097	26638
73	2129	26642
74	2154	26569
75	2182	26540
76	2207	26463
77	2235	26422
78	2260	26358
79	2286	26296
80	2313	26247
81	2335	26142
82	2358	26055
83	2384	26004
84	2409	25936
85	2432	25850
86	2455	25769
87	2478	25689
88	2504	25632
89	2528	25566
90	2552	25497
91	2576	25431
92	2602	25381
93	2632	25373
94	2659	25335
95	2683	25268
96	2709	25220
97	2742	25241
98	2775	25257
99	2804	25244
100	2827	25170
101	2849	25085
102	2873	25027
103	2897	24965
104	2923	24918
105	2955	24928
106	2979	24865
107	3004	24818
108	3027	24748
109	3053	24708
110	3074	24625
111	3105	24621
112	3139	24640
113	3161	24572
114	3190	24553
115	3221	24547
116	3246	24497
117	3271	24450
118	3307	24485
119	3337	24477
120	3361	24418
121	3385	24361
122	3407	24294
123	3430	24236
124	3456	24197
125	3479	24132
126	3502	24075
127	3524	24009
128	3549	23968
129	3572	23909
130	3593	23840
131	3627	23851
132	3660	23859
133	3699	23909
134	3747	24013
135	3775	23988
136	3801	23947
137	3823	23883
138	3849	23847
139	3871	23781
140	3898	23748
141	3920	23688
142	3947	23655
143	3969	23593
144	3991	23535
145	4016	23493
146	4037	23430
147	4060	23377
148	4082	23319
149	4117	23330
150	4166	23425
151	4209	23482
152	4255	23557
153	4291	23577
154	4320	23553
155	4346	23513
156	4366	23448
157	4389	23391
158	4416	23358
159	4440	23311
160	4462	23256
161	4488	23219
162	4513	23174
163	4536	23125
164	4560	23077
165	4583	23027
166	4607	22980
167	4630	22933
168	4656	22897
169	4687	22887
170	4712	22847
171	4745	22846
172	4781	22856
173	4811	22843
174	4839	22813
175	4861	22762
176	4883	22705
177	4906	22658
178	4930	22612
179	4959	22591
180	4980	22534
181	5006	22503
182	5033	22472
183	5056	22425
184	5080	22382
185	5105	22342
186	5128	22296
187	5151	22249
188	5175	22207
189	5197	22159
190	5223	22123
191	5244	22070
192	5269	22035
193	5293	21992
194	5316	21948
195	5342	21913
196	5363	21861
197	5389	21828
198	5414	21795
199	5438	21752
200	5461	21709
201	5483	21662
202	5507	21621
203	5531	21584
204	5555	21544
205	5578	21503
206	5602	21463
207	5623	21411
208	5644	21363
209	5669	21329
210	5691	21281
211	5713	21237
212	5738	21202
213	5759	21154
214	5785	21123
215	5806	21075
216	5830	21039
217	5854	20999
218	5876	20957
219	5900	20918
220	5922	20875
221	5946	20838
222	5970	20802
223	5993	20762
224	6018	20730
225	6042	20693
226	6065	20655
227	6087	20610
228	6108	20566
229	6133	20534
230	6155	20490
231	6179	20457
232	6204	20424
233	6228	20390
234	6252	20353
235	6274	20311
236	6299	20280
237	6320	20235
238	6345	20204
239	6366	20161
240	6390	20125
241	6413	20087
242	6434	20043
243	6457	20008
244	6485	19985
245	6522	19991
246	6548	19964
247	6571	19926
248	6596	19894
249	6617	19853
250	6639	19813
251	6662	19776
252	6687	19744
253	6709	19706
254	6733	19673
255	6758	19642
256	6782	19607
257	6806	19574
258	6831	19545
259	6856	19516
260	6880	19482
261	6901	19440
262	6926	19409
263	6948	19371
264	6973	19341
265	6997	19308
266	7018	19268
267	7043	19238
268	7066	19202
269	7090	19169
270	7113	19134
271	7138	19105
272	7160	19068
273	7183	19034
274	7208	19004
275	7231	18969
276	7256	18940
277	7279	18906
278	7304	18875
279	7325	18837
280	7348	18802
281	7371	18768
282	7393	18732
283	7415	18696
284	7439	18664
285	7462	18630
286	7485	18596
287	7509	18565
288	7534	18536
289	7558	18506
290	7583	18476
291	7606	18442
292	7628	18406
293	7653	18378
294	7674	18341
295	7697	18308
296	7718	18270
297	7739	18231
298	7763	18200
299	7787	18170
300	7810	18137
301	7833	18104
302	7854	18068
303	7877	18034
304	7901	18004
305	7924	17973
306	7948	17943
307	7969	17905
308	7991	17871
309	8015	17840
310	8036	17804
311	8057	17767
312	8080	17736
313	8103	17702
314	8125	17670
315	8148	17638
316	8173	17609
317	8197	17581
318	8220	17548
319	8241	17513
320	8266	17485
321	8288	17452
322	8312	17422
323	8334	17389
324	8357	17357
325	8381	17328
326	8403	17294
327	8424	17260
328	8447	17229
329	8469	17195
330	8493	17166
331	8516	17135
332	8538	17103
333	8561	17072
334	8583	17038
335	8607	17009
336	8630	16978
337	8651	16945
338	8676	16917
339	8699	16887
340	8722	16856
341	8746	16828
342	8769	16797
343	8794	16770
344	8818	16741
345	8841	16712
346	8864	16681
347	8885	16647
348	8908	16618
